Date,EWL,EWT,EDEN,RSX,ENZL,EWJ,PLND,GXC,EWN,TUR,EUSA,QAT,EWD,EIS,EWG,EWC,EWH,EFNL,EWQ,EWA,EWM,EWK,PGAL,EWY,EWS,EWI,EIRL,EWU,PIN,EWP,KSA,THD,GREK,EPHE,VNM,UAE,EWO,EGPT,NORW,PAK,EWZ,EPU,ARGT,EWW,EZA,IDX,GXG,NGE,ECH
2015-09-17,29.29,24.45,51.17,13.65,27.19,44.07,15.21,65.3,22.25,32.76,39.38,18.09,26.46,47.54,24.28,21.87,17.14,27.75,22.94,15.15,26.38,15.74,8.52,45.74,17.82,26.17,38.89,28.51,18.85,27.14,23.25,59.7,9.35,34.82,14.5,14.91,13.92,37.6,9.17,11.08,21.65,21.22,17.3,48.49,45.58,15.74,8.08,28.83,32.88
2015-09-18,28.82,24.0,50.38,13.16,27.4,42.67,14.63,63.9,21.57,32.15,38.79,18.09,25.59,46.83,23.39,21.59,17.14,26.98,22.2,15.06,25.69,15.53,8.39,45.22,17.57,25.18,38.24,28.01,18.5,26.32,22.75,58.41,9.53,34.24,14.32,15.06,13.57,37.6,8.97,11.08,20.39,20.82,16.73,48.01,44.47,15.3,8.03,28.34,32.26
2015-09-21,28.73,23.74,50.53,13.19,27.07,42.92,14.76,64.71,21.63,32.97,38.93,18.27,25.39,46.32,23.21,21.7,17.26,26.98,22.19,14.93,25.25,15.39,8.36,44.61,17.54,25.23,38.03,28.03,18.74,26.03,22.81,59.13,9.17,34.49,14.66,15.24,13.38,37.54,8.95,11.08,20.19,20.76,16.39,48.0,43.84,15.34,7.89,28.63,32.05
2015-09-22,27.95,23.21,49.73,12.87,26.96,42.29,14.39,63.77,21.05,32.51,38.24,18.09,24.88,46.07,22.33,21.17,17.08,26.13,21.53,14.73,24.86,15.01,8.18,44.02,17.32,24.54,37.32,27.15,18.26,25.28,22.59,57.89,8.91,33.75,14.48,15.1,13.15,37.54,8.76,11.08,19.64,20.45,15.99,47.1,42.97,15.03,7.58,28.5,30.87
2015-09-23,27.52,23.09,49.55,12.59,26.68,42.29,14.11,62.62,20.92,31.86,38.12,18.04,24.53,45.65,22.34,20.88,16.92,26.31,21.51,14.43,24.07,15.01,8.21,43.63,17.07,24.39,37.07,27.15,18.2,24.97,22.47,57.03,8.77,33.33,14.38,15.17,13.2,37.61,8.68,10.93,18.82,20.27,15.68,46.26,42.27,14.53,7.42,28.66,30.14
2015-09-24,27.35,22.71,49.52,12.65,27.15,42.0,14.2,62.49,20.75,31.86,37.9,18.04,24.26,45.29,22.3,20.87,16.72,26.31,21.4,14.65,23.76,14.98,8.22,43.39,17.06,24.34,36.66,27.17,18.33,24.89,22.47,57.05,8.79,33.09,14.51,14.77,13.21,36.94,8.47,10.9,19.52,20.25,15.57,46.42,42.15,14.31,7.46,28.21,30.55
2015-09-25,27.42,22.71,49.42,12.81,27.24,43.04,14.0,62.2,21.08,31.78,38.21,17.93,24.37,44.94,22.42,20.9,16.71,25.95,21.66,14.56,23.88,14.97,8.23,43.44,16.94,24.54,36.61,27.32,18.27,24.86,22.48,57.25,8.78,33.21,14.32,14.94,13.18,37.43,8.5,10.93,19.41,20.25,15.65,45.95,41.82,14.31,7.45,28.24,30.5
2015-09-28,27.2,22.19,49.0,12.52,26.89,42.0,13.83,60.88,20.66,31.13,36.91,17.74,23.79,44.27,22.09,20.22,16.45,25.64,21.19,14.34,23.49,14.71,8.11,42.56,16.58,24.01,36.03,26.6,17.88,24.73,22.06,55.67,8.41,32.58,14.04,14.59,12.98,37.23,8.33,10.78,18.51,19.74,14.98,45.13,40.63,13.76,7.32,28.17,29.61
2015-09-29,27.28,22.31,48.67,12.7,26.72,41.48,13.85,61.14,20.83,31.71,36.84,17.66,24.17,43.73,22.17,20.23,16.33,25.92,21.3,14.16,23.41,14.63,8.06,42.43,16.69,24.18,35.82,26.59,18.17,25.0,22.59,55.75,8.45,33.33,14.14,14.57,13.19,36.32,8.4,10.7,18.82,19.83,15.08,45.58,41.18,14.19,7.28,28.14,29.82
2015-09-30,27.88,22.92,49.11,12.86,26.88,42.37,13.92,62.66,21.17,32.28,37.34,17.98,24.69,44.35,22.46,20.83,16.61,26.19,21.68,14.51,24.27,14.82,8.28,44.13,16.91,24.77,36.33,27.2,18.91,25.22,22.79,55.84,8.68,33.5,14.17,14.89,13.36,36.81,8.56,10.66,19.69,20.13,15.3,46.48,42.45,14.54,7.39,28.27,30.4
2015-10-01,27.88,23.41,49.45,12.62,26.82,42.67,13.88,63.08,21.05,32.09,37.32,17.98,24.57,44.39,22.27,20.83,16.69,26.2,21.67,14.63,24.05,14.88,8.4,44.85,16.81,24.68,36.22,27.3,18.7,25.43,22.59,55.19,8.4,33.28,14.18,14.89,13.42,36.78,8.71,10.66,19.68,20.26,15.27,46.4,42.87,14.51,7.39,28.34,30.34
2015-10-02,28.24,23.67,49.64,12.74,27.13,43.18,14.07,65.66,21.48,33.43,38.05,18.55,25.02,44.88,22.57,21.15,17.18,26.77,22.06,14.77,24.56,15.14,8.69,45.29,16.84,25.37,36.48,28.03,19.05,25.84,22.9,56.53,8.6,34.02,14.48,15.05,13.61,37.37,8.89,10.66,20.65,20.37,15.47,46.93,44.77,14.76,7.55,28.34,31.05
2015-10-05,28.73,24.14,50.29,13.14,27.63,44.26,14.25,66.49,21.9,34.08,38.92,18.48,25.68,45.16,22.96,21.59,17.41,27.35,22.57,15.19,25.23,15.34,8.91,46.2,17.36,25.74,36.91,28.48,19.51,26.57,23.08,57.64,8.92,34.94,14.95,15.38,13.84,37.23,9.0,10.91,21.18,21.13,16.18,47.83,45.93,15.56,7.87,28.01,31.82
2015-10-06,28.89,23.95,50.63,13.46,27.86,43.89,14.38,65.81,22.02,34.21,38.78,18.48,25.74,45.63,23.15,21.85,17.18,27.58,22.74,15.28,25.35,15.35,8.96,46.09,17.52,25.86,36.68,28.53,19.27,26.89,23.12,57.38,9.1,34.92,15.46,15.38,13.98,36.97,9.35,10.91,21.39,21.25,16.32,48.13,45.73,16.13,8.12,28.04,32.26
2015-10-07,28.69,24.52,50.66,13.66,28.07,44.59,14.44,67.91,22.07,35.19,39.07,18.48,25.98,46.49,23.43,22.18,17.42,27.8,22.93,15.53,26.82,15.41,9.17,47.48,18.16,25.98,36.76,29.01,19.6,27.33,23.44,59.54,9.22,35.56,15.84,15.6,14.18,37.4,9.56,11.14,21.8,21.5,16.74,48.53,46.67,16.85,8.26,27.48,32.71
2015-10-08,29.0,24.52,50.81,14.15,28.38,44.74,14.84,68.32,22.16,36.07,39.51,18.73,26.18,46.47,23.64,22.44,17.65,27.92,23.11,15.75,27.18,15.41,9.19,47.86,18.21,26.2,36.85,29.32,19.58,27.52,24.1,60.25,9.36,35.9,16.07,15.38,14.26,37.63,9.67,11.14,22.39,21.56,16.88,49.23,47.56,17.33,8.45,27.52,32.75
2015-10-09,29.06,24.68,50.66,14.14,28.4,44.85,14.88,68.17,22.14,35.72,39.62,18.65,26.45,46.43,23.84,22.57,17.53,27.92,23.16,15.9,27.41,15.45,9.2,48.3,18.57,26.34,36.51,29.17,19.63,27.78,23.95,61.26,9.31,35.8,16.31,15.4,14.28,38.19,9.69,11.28,22.65,21.98,16.95,49.56,47.17,18.0,8.44,27.39,32.92
